kor-m3-u0m0s0	문학 > 현대시 > 화자와 정서	화자의 상황과 태도 | 정서의 변화
kor-m3-u0m0s1	문학 > 현대시 > 표현상 특징	표현 방법 파악 | 심상(이미지)
kor-m3-u0m0s2	문학 > 현대시 > 시상 전개	시상 전개 방식 | 구성상 특징
kor-m3-u0m0s3	문학 > 현대시 > 주제·감상	주제 파악 | 감상의 적절성
kor-m3-u0m1s0	문학 > 현대소설 > 인물	인물의 성격과 심리 | 인물 간 관계
kor-m3-u0m1s1	문학 > 현대소설 > 사건과 갈등	갈등의 양상 | 사건 전개
kor-m3-u0m1s2	문학 > 현대소설 > 서술상 특징	서술자와 시점 | 서술 방식
kor-m3-u0m1s3	문학 > 현대소설 > 배경·소재	배경의 기능 | 소재의 의미
kor-m3-u0m2s0	문학 > 고전시가 > 갈래 이해	향가·고려가요 | 시조·가사
kor-m3-u0m2s1	문학 > 고전시가 > 화자와 정서	화자의 처지와 정서
kor-m3-u0m2s2	문학 > 고전시가 > 표현과 어휘	고전 어휘 풀이 | 표현상 특징
kor-m3-u0m3s0	문학 > 고전산문 > 서사 구조	사건의 흐름 | 전기적 요소
kor-m3-u0m3s1	문학 > 고전산문 > 인물과 주제	인물의 유형 | 주제 의식
kor-m3-u0m4s0	문학 > 수필·극 > 수필	글쓴이의 경험과 깨달음
kor-m3-u0m4s1	문학 > 수필·극 > 극	대사와 지시문 | 갈등 구조
kor-m3-u1m0s0	독서(비문학) > 사실적 읽기 > 세부 정보	내용 일치·불일치 | 세부 정보 확인
kor-m3-u1m0s1	독서(비문학) > 사실적 읽기 > 글의 구조	문단의 관계 | 전개 방식
kor-m3-u1m1s0	독서(비문학) > 추론적 읽기 > 생략된 내용	빈칸 추론 | 숨은 전제 찾기
kor-m3-u1m1s1	독서(비문학) > 추론적 읽기 > 어휘의 문맥적 의미	밑줄 친 어휘의 의미
kor-m3-u1m2s0	독서(비문학) > 비판·적용 > 비판적 읽기	견해의 타당성 | 반론 제기
kor-m3-u1m2s1	독서(비문학) > 비판·적용 > 적용	보기에 적용하기 | 사례 찾기
kor-m3-u1m3s0	독서(비문학) > 제재별 독해 > 인문·예술	인문 지문 | 예술 지문
kor-m3-u1m3s1	독서(비문학) > 제재별 독해 > 사회·경제	사회 지문 | 경제 지문
kor-m3-u1m3s2	독서(비문학) > 제재별 독해 > 과학·기술	과학 지문 | 기술 지문
kor-m3-u2m0s0	문법 > 음운 > 음운의 체계	자음·모음 체계
kor-m3-u2m0s1	문법 > 음운 > 음운의 변동	교체·탈락 | 첨가·축약
kor-m3-u2m1s0	문법 > 단어 > 품사	품사 분류 | 품사 통용
kor-m3-u2m1s1	문법 > 단어 > 단어의 형성	어근과 접사 | 합성어·파생어
kor-m3-u2m1s2	문법 > 단어 > 의미 관계	유의·반의·상하 관계
kor-m3-u2m2s0	문법 > 문장 > 문장 성분	주성분·부속성분
kor-m3-u2m2s1	문법 > 문장 > 문장의 짜임	홑문장·겹문장 | 안은문장·이어진문장
kor-m3-u2m2s2	문법 > 문장 > 문법 요소	높임·시제 | 피동·사동·부정
kor-m3-u2m3s0	문법 > 국어 규범 > 한글 맞춤법	맞춤법에 맞는 표기
kor-m3-u2m3s1	문법 > 국어 규범 > 표준어와 발음	표준어 규정 | 표준 발음
kor-m3-u3m0s0	화법과 작문 > 화법 > 말하기 전략	발표·토론 전략 | 듣기 반응
kor-m3-u3m0s1	화법과 작문 > 화법 > 담화 이해	담화의 맥락
kor-m3-u3m1s0	화법과 작문 > 작문 > 글쓰기 계획	글쓰기 계획과 자료 활용
kor-m3-u3m1s1	화법과 작문 > 작문 > 고쳐쓰기	문장 고쳐 쓰기 | 내용 조직
kor-m3-u4m0s0	어휘 > 어휘력 > 한자어	한자어의 뜻 | 동음이의어
kor-m3-u4m0s1	어휘 > 어휘력 > 고유어·관용어	고유어 뜻 | 관용어·속담
