h-cellmeta-u0m0s0	세포 > 생명체의 구성 물질 > 탄수화물과 지질	탄수화물 단당류·이당류·다당류 분류 | 글리코젠과 녹말·셀룰로스 구조 비교 | 지질의 종류와 기능 구분 | 인지질 이중층 형성 원리 이해 | 구성 물질별 에너지 함량 자료 해석
h-cellmeta-u0m0s1	세포 > 생명체의 구성 물질 > 단백질과 핵산	아미노산과 펩타이드 결합 구조 | 단백질 4차 구조 수준 구분 | 단백질 변성과 기능 상실 분석 | DNA와 RNA 구성 성분 비교 | 뉴클레오타이드 구조와 결합 방식 | 핵산의 상보적 염기쌍 계산
h-cellmeta-u0m1s0	세포 > 세포의 구조와 기능 > 세포 연구 방법과 세포 소기관	현미경 종류별 관찰 특징 비교 | 세포 분획법 원심분리 순서 해석 | 세포 소기관의 구조와 기능 연결 | 분비 단백질 이동 경로 추적 | 동물세포와 식물세포 구조 비교
h-cellmeta-u0m1s1	세포 > 세포의 구조와 기능 > 원핵세포와 진핵세포	원핵세포·진핵세포 구조 차이 구분 | 막성 세포 소기관 유무 판별 | 세포내 공생설 근거 해석 | 세포 크기와 표면적·부피비 계산
h-cellmeta-u0m2s0	세포 > 세포막과 물질 수송 > 세포막의 구조와 확산	유동 모자이크막 모델 이해 | 막단백질 기능별 분류 | 확산과 삼투 현상 구분 | 삼투압에 따른 세포 부피 변화 그래프 해석 | 용액 농도에 따른 적혈구 상태 예측
h-cellmeta-u0m2s1	세포 > 세포막과 물질 수송 > 막을 통한 물질 수송	수동 수송과 능동 수송 비교 | 막단백질 수송 속도 그래프 해석 | 농도 기울기와 ATP 소모 관계 분석 | 세포내 섭취와 세포외 배출 구분
h-cellmeta-u1m0s0	물질대사와 에너지 > 물질대사와 에너지 > 물질대사와 ATP	동화작용과 이화작용 구분 | 물질대사와 에너지 출입 관계 이해 | ATP 구조와 에너지 저장·방출 원리 | ATP-ADP 순환 과정 분석 | 발열 반응과 흡열 반응 자료 해석
h-cellmeta-u1m0s1	물질대사와 에너지 > 물질대사와 에너지 > 물질대사와 건강	기초 대사량과 활동 대사량 계산 | 대사성 질환 원인과 예방 이해 | 에너지 섭취·소비 균형 자료 해석 | 물질대사 관련 질병 사례 분석
h-cellmeta-u1m1s0	물질대사와 에너지 > 효소 > 효소의 작용 원리	효소와 활성화 에너지 관계 이해 | 효소-기질 복합체 형성 과정 분석 | 효소의 기질 특이성 실험 해석 | 온도·pH에 따른 효소 반응 속도 그래프 해석 | 기질 농도와 반응 속도 그래프 분석 | 효소 반응 속도 곡선 포화 지점 계산
h-cellmeta-u1m1s1	물질대사와 에너지 > 효소 > 효소의 종류와 이용	보조 인자와 조효소 역할 구분 | 경쟁적·비경쟁적 저해제 그래프 비교 | 효소 활성 조절 원리 이해 | 생활 속 효소 이용 사례 응용
h-cellmeta-u2m0s0	세포호흡과 광합성 > 세포호흡 > 미토콘드리아와 세포호흡 과정	미토콘드리아 구조와 기능 연결 | 세포호흡 단계별 반응 장소 구분 | 해당 과정 ATP 수지 계산 | TCA 회로 물질 변화 분석 | 산화적 인산화와 화학 삼투 과정 이해 | 세포호흡 전자전달계 그래프 해석 | 포도당 완전 산화 ATP 총량 계산
h-cellmeta-u2m0s1	세포호흡과 광합성 > 세포호흡 > 산소 호흡과 발효	산소 호흡과 발효 에너지 효율 비교 | 알코올 발효와 젖산 발효 산물 구분 | 효모 발효 실험 결과 해석 | 무산소 조건 대사 산물 분석
h-cellmeta-u2m1s0	세포호흡과 광합성 > 광합성 > 엽록체와 명반응	엽록체 구조와 색소 흡수 스펙트럼 해석 | 광계 I·II 전자 흐름 분석 | 광인산화 과정과 ATP 생성 이해 | 명반응 산물 NADPH·ATP 구분 | 빛의 세기·파장에 따른 광합성량 그래프 해석
h-cellmeta-u2m1s1	세포호흡과 광합성 > 광합성 > 탄소 고정 반응	캘빈 회로 단계별 물질 변화 분석 | 루비스코 작용과 탄소 고정 이해 | CO2 농도와 광합성 속도 그래프 해석 | 명반응·암반응 상호 의존 관계 분석 | 포도당 합성에 필요한 ATP·NADPH 계산
h-cellmeta-u2m2s0	세포호흡과 광합성 > 세포호흡과 광합성의 관계 > 에너지 전환과 물질 순환	광합성과 세포호흡 물질 출입 비교 | 생태계 에너지 흐름과 물질 순환 이해 | 광합성·호흡 속도 교점 그래프 해석 | 미토콘드리아와 엽록체 에너지 전환 종합 분석
