eng-h1-u0m0s0	독해 > 대의 파악 > 주제 파악	글의 주제로 알맞은 것 | 주제문 찾기
eng-h1-u0m0s1	독해 > 대의 파악 > 제목 파악	글의 제목으로 알맞은 것
eng-h1-u0m0s2	독해 > 대의 파악 > 요지 파악	글의 요지로 알맞은 것 | 필자의 주장
eng-h1-u0m0s3	독해 > 대의 파악 > 목적 파악	글의 목적으로 알맞은 것 | 글의 종류·출처
eng-h1-u0m0s4	독해 > 대의 파악 > 요약	한 문장 요약 빈칸 채우기
eng-h1-u0m0s5	독해 > 대의 파악 > 심경·분위기	인물의 심경 변화 | 글의 분위기
eng-h1-u0m1s0	독해 > 세부 내용 파악 > 일치	내용과 일치하는 것
eng-h1-u0m1s1	독해 > 세부 내용 파악 > 불일치	내용과 일치하지 않는 것
eng-h1-u0m1s2	독해 > 세부 내용 파악 > 추론 가능	글에서 추론할 수 있는 것
eng-h1-u0m1s3	독해 > 세부 내용 파악 > 추론 불가	글에서 추론할 수 없는 것
eng-h1-u0m1s4	독해 > 세부 내용 파악 > 질문 확인	글을 읽고 답할 수 있는 질문 | 도표·안내문 세부 정보
eng-h1-u0m2s0	독해 > 글의 흐름 파악 > 무관한 문장	전체 흐름과 관계 없는 문장
eng-h1-u0m2s1	독해 > 글의 흐름 파악 > 문장 삽입	주어진 문장이 들어갈 위치
eng-h1-u0m2s2	독해 > 글의 흐름 파악 > 순서 배열	글의 순서로 알맞은 것
eng-h1-u0m2s3	독해 > 글의 흐름 파악 > 연결어	빈칸에 알맞은 연결어
eng-h1-u0m3s0	독해 > 빈칸·의미 추론 > 빈칸 추론	빈칸에 들어갈 말(단어) | 빈칸에 들어갈 말(구·절) | 빈칸 두 개
eng-h1-u0m3s1	독해 > 빈칸·의미 추론 > 의미 추론	밑줄 친 부분이 뜻하는 것 | 함축적 의미
eng-h1-u0m3s2	독해 > 빈칸·의미 추론 > 지칭 추론	밑줄 친 대상이 다른 것
eng-h1-u1m0s0	어법·어휘 > 어법 > 옳은 것 고르기	네모 안 어법상 알맞은 것
eng-h1-u1m0s1	어법·어휘 > 어법 > 틀린 것 고르기	밑줄 친 부분 중 어법상 틀린 것
eng-h1-u1m0s2	어법·어휘 > 어법 > 어법 서술형	어법에 맞게 고쳐 쓰기
eng-h1-u1m1s0	어법·어휘 > 어휘 > 낱말 쓰임	문맥상 낱말의 쓰임이 적절하지 않은 것 | 네모 안 알맞은 낱말
eng-h1-u1m1s1	어법·어휘 > 어휘 > 영영 풀이	영영 뜻풀이에 해당하는 낱말
eng-h1-u1m1s2	어법·어휘 > 어휘 > 어휘 관계	반의어·유의어 | 파생어·품사 변화
eng-h1-u2m0s0	서술형 > 서술형 > 영작	주어진 단어로 문장 완성 | 조건 영작
eng-h1-u2m0s1	서술형 > 서술형 > 순서 배열	단어 배열해 문장 만들기
eng-h1-u2m0s2	서술형 > 서술형 > 틀린 부분 고치기	문장에서 틀린 부분 찾아 고치기
eng-h1-u2m0s3	서술형 > 서술형 > 본문 서술형	본문 빈칸 채우기 | 본문 내용 우리말로 쓰기
eng-h1-u3m0s0	단어·문장 > 단어 > 단어 뜻	영어를 우리말로 | 우리말을 영어로
eng-h1-u3m0s1	단어·문장 > 단어 > 철자	철자 쓰기
eng-h1-u3m1s0	단어·문장 > 문장 > 문장 학습	문장 해석 | 문장 빈칸 채우기
